salary,rent,food,entertainment,utilities,transportation,insurance,savings,subscriptions,travels,emi,future_expense_target
141958,29753,17225,13566,6977,9559,7221,38714,4471,25835,10453,166209.79434149386
166867,23931,21812,3585,6275,10284,9815,44213,997,19240,37549,184551.30204951242
151932,33467,5566,2139,13747,1057,2978,1772,209,2812,34905,100760.02790380824
123694,25030,28660,3814,7198,14230,839,35064,4164,26845,38993,190823.16149601847
139879,45868,3263,5899,5528,18517,3932,25049,1819,21546,20546,157499.0540611843
130268,36597,15793,658,13514,18262,103,47180,1506,29545,18714,188799.57907431328
74886,44479,6148,5006,10409,1110,6997,47409,987,4816,35261,170158.45973642138
157337,22047,28483,11793,11212,2259,7469,14967,2691,10616,26445,139771.35999241957
188266,37232,14731,1318,921,17661,3387,2830,4216,52,27635,114136.29816155821
107498,38607,5495,4578,13354,4093,9971,20219,589,15797,5897,123715.50868316983
132727,20426,20712,2394,5694,19778,5406,18514,3756,13358,30769,145889.51267050023
146324,21306,2479,12595,1892,14435,3900,8851,276,29845,8212,105920.13699228156
195203,18185,17062,4749,945,10267,9071,556,4756,13072,28379,109774.62578837927
36023,46441,1495,19129,1042,2736,7556,23396,2921,7003,36368,151907.49629353522
61090,43570,5785,6970,9727,6231,7780,3977,633,7114,7560,100600.73444713202
87221,21739,19689,1241,2343,18799,5927,37121,2217,27790,17719,161560.76268225076
84820,2170,10387,18187,11457,10562,2878,39933,1584,29395,31277,161352.20095921092
20769,18112,6321,13670,4753,1578,6435,22858,673,6419,33984,116972.26250228171
79735,33306,3340,10960,10358,10232,4812,28966,3588,25159,7036,139945.4953499261
84925,29351,23058,13801,1525,7626,4657,20380,4974,8052,38778,158966.8572622519
25311,43487,11834,18817,7051,7458,4195,2137,3298,14609,2716,119477.44190236679
123355,44072,15490,8445,1358,18894,5153,4942,1068,18956,10191,131831.7890375203
105305,6454,18071,3106,8092,16738,3811,25947,4674,26039,9228,126649.3241234455
179765,12530,20875,15911,5564,13946,4535,2369,1282,8107,34239,123953.67465385702
150608,11432,15057,12914,11887,13622,9788,18202,4653,19260,22863,143193.3873207706
176730,5708,18492,5170,2805,14915,1639,42250,4767,28011,33650,162137.31775445314
104478,48248,12463,8843,8988,11574,6313,32595,935,11197,24456,169840.03107871514
142537,22852,6961,18762,6477,14196,5672,34160,3624,23431,7312,146264.78487549792
169503,23868,25452,15085,1667,16627,7771,36616,2633,10102,4353,146486.4310679923
150523,43365,10754,4093,1834,15568,344,17538,1499,13667,1983,113222.68540956416
22747,30233,9367,10764,855,5309,1253,46736,3327,18895,4881,134978.72355769027
143855,13648,23665,3241,1528,2908,235,1733,3257,2084,25634,81392.37372899808
85725,12233,18377,17341,3009,3731,1425,8205,320,6053,16118,90165.2999976577
149981,30517,14692,16809,13088,11459,4337,34978,475,11016,26866,172209.64115203885
104654,14565,23368,248,10734,12362,2698,36727,2553,8337,9613,124505.17426330138
186845,21743,23341,2326,1223,14292,6440,40862,1773,15819,25185,154602.95338631354
139346,43686,3603,10465,3262,1975,9744,18134,1617,720,3069,97535.1082659006
87435,17005,24997,6960,8914,1132,5176,16667,2329,10658,21550,119755.4130691121
76886,14281,7416,163,9912,5904,8320,45746,4304,3015,6228,107903.59943885806
86803,33342,5038,14087,11357,5724,2811,3394,1483,26786,38499,144810.12089645927
51551,2338,10183,7620,11574,4478,7423,21180,2572,24746,13034,110201.2288678418
136216,12650,15605,17700,8133,15461,8653,427,1440,26968,8946,118571.19010072795
31394,11113,16900,3488,7711,15243,4040,15577,2576,8368,10962,97336.83563391134
89092,14433,1612,15848,14617,3843,2261,1590,1553,1910,7307,65797.42249675105
23890,6187,3506,12087,865,7966,9070,34531,1011,27013,8544,115300.77019993002
61606,12058,18759,17891,8145,16821,8723,37255,1572,17030,5511,147028.94810578905
107313,25489,9835,1746,11745,14078,3689,32170,3125,21115,11608,138665.8306408636
161699,7712,4254,19707,2299,5071,848,497,2222,23013,30284,98916.43892814452
28792,19069,13130,1039,8310,4713,6761,4140,4706,9658,30531,103559.6144290001
194073,44524,4827,19140,5599,7896,9637,43118,3428,16991,31192,189086.79318838648
174969,33391,27568,6333,5621,10180,8638,29329,4194,7128,77,136613.12765150136
88148,38593,13023,11510,6037,13256,1982,21649,3675,14212,32104,161758.06492547932
144243,37470,2084,12351,7534,18206,3576,5802,2424,6657,606,100910.59122182534
140174,5771,2496,7375,3644,5453,3272,34029,3934,7185,17190,92846.08792693519
174555,37025,13260,6884,9757,15714,684,26424,238,10261,32350,155867.49072807544
144358,25707,17508,3588,3804,19326,1722,7544,681,10153,19090,110871.28379936633
68555,34154,3151,4465,11688,11314,6579,27473,999,21022,2076,126435.55120552849
37159,8312,15667,19933,9510,4558,3721,1691,4439,1476,21377,92808.94719982725
